respondent_id,h1n1_vaccine,seasonal_vaccine
26707,0.15,0.26
26708,0.02,0.02
26709,0.28,0.79
26710,0.52,0.89
26711,0.34,0.41
26712,0.67,0.83
26714,0.2,0.26
26716,0.3,0.78
26717,0.01,0.57
26718,0.3,0.61
26719,0.12,0.85
26720,0.03,0.31
26721,0.23,0.5
26722,0.07,0.13
26723,0.78,0.87
26724,0.04,0.82
26725,0.02,0.16
26727,0.43,0.83
26728,0.39,0.5
26729,0.03,0.22
26730,0.02,0.14
26731,0.03,0.36
26733,0.95,0.96
26734,0.93,0.42
26736,0.12,0.18
26737,0.11,0.09
26738,0.8,0.83
26739,0.15,0.14
26740,0.23,0.25
26741,0.08,0.76
26742,0.19,0.37
26744,0.02,0.68
26745,0.03,0.73
26747,0.04,0.13
26749,0.11,0.62
26751,0.5,0.68
26752,0.04,0.13
26753,0.33,0.49
26754,0.14,0.5
26756,0.03,0.09
26757,0.23,0.66
26759,0.01,0.08
26763,0.94,0.95
26764,0.97,0.92
26765,0.02,0.6
26766,0.21,0.17
26767,0.87,0.63
26768,0.01,0.39
26769,0.06,0.21
26770,0.05,0.55
26771,0.02,0.3
26772,0.12,0.39
26773,0.02,0.4
26774,0.01,0.3
26775,0.05,0.54
26777,0.18,0.89
26778,0.09,0.16
26779,0.18,0.61
26780,0.06,0.82
26782,0.07,0.25
26783,0.03,0.18
26784,0.19,0.82
26786,0.05,0.2
26788,0.04,0.92
26789,0.02,0.31
26790,0.03,0.11
26791,0.02,0.08
26792,0.12,0.67
26793,0.13,0.94
26794,0.62,0.81
26795,0.06,0.84
26796,0.07,0.04
26797,0.15,0.5
26798,0.24,0.25
26800,0.05,0.91
26802,0.15,0.23
26804,0.02,0.12
26805,0.03,0.3
26806,0.03,0.92
26807,0.48,0.72
26808,0.13,0.46
26809,0.57,0.27
26810,0.02,0.19
26811,0.02,0.06
26812,0.24,0.73
26815,0.02,0.03
26816,0.03,0.23
26817,0.07,0.76
26818,0.15,0.28
26821,0.05,0.51
26822,0.1,0.67
26823,0.51,0.33
26825,0.45,0.74
26827,0.02,0.2
26828,0.08,0.33
26829,0.74,0.92
26830,0.02,0.75
26831,0.09,0.83
26832,0.04,0.89
26835,0.19,0.89
26836,0.25,0.63
26838,0.15,0.55
26840,0.12,0.3
26843,0.01,0.03
26844,0.02,0.23
26845,0.01,0.71
26847,0.46,0.16
26848,0.02,0.67
26850,0.49,0.74
26851,0.05,0.07
26852,0.07,0.1
26853,0.29,0.56
26854,0.01,0.08
26856,0.05,0.11
26857,0.57,0.4
26858,0.06,0.55
26859,0.03,0.14
26861,0.02,0.08
26862,0.04,0.27
26863,0.13,0.37
26864,0.24,0.37
26865,0.02,0.09
26866,0.13,0.62
26867,0.18,0.12
26868,0.9,0.84
26869,0.04,0.23
26870,0.68,0.85
26871,0.02,0.07
26872,0.02,0.43
26875,0.43,0.78
26878,0.1,0.37
26879,0.0,0.03
26881,0.01,0.05
26882,0.06,0.07
26883,0.13,0.28
26887,0.76,0.86
26888,0.95,0.93
26889,0.02,0.11
26890,0.05,0.42
26891,0.49,0.89
26892,0.07,0.54
26893,0.08,0.01
26894,0.3,0.25
26896,0.08,0.04
26897,0.07,0.43
26898,0.1,0.44
26899,0.02,0.08
26900,0.17,0.27
26901,0.02,0.44
26902,0.08,0.73
26903,0.15,0.1
26905,0.17,0.7
26906,0.02,0.36
26907,0.02,0.49
26909,0.1,0.17
26910,0.03,0.42
26911,0.08,0.12
26912,0.61,0.85
26913,0.67,0.84
26914,0.03,0.15
26915,0.08,0.52
26916,0.03,0.22
26918,0.82,0.96
26919,0.16,0.53
26920,0.02,0.09
26921,0.16,0.6
26922,0.02,0.79
26923,0.16,0.46
26924,0.86,1.0
26925,0.23,0.72
26926,0.66,0.47
26927,0.45,0.68
26929,0.13,0.2
26930,0.48,0.76
26931,0.2,0.56
26933,0.02,0.46
26934,0.34,0.68
26937,0.12,0.86
26938,0.02,0.07
26939,0.04,0.31
26940,0.03,0.18
26941,0.09,0.31
26943,0.06,0.5
26944,0.03,0.2
26945,0.04,0.53
26946,0.03,0.59
26948,0.03,0.1
26949,0.01,0.08
26951,0.11,0.33
26954,0.02,0.16
26957,0.04,0.94
26958,0.15,0.61
26959,0.06,0.16
26960,0.01,0.16
26961,0.22,0.4
26963,0.05,0.37
26964,0.05,0.32
26965,0.63,0.83
26968,0.06,0.89
26969,0.07,0.24
26971,0.14,0.14
26972,0.01,0.12
26973,0.09,0.24
26975,0.14,0.73
26976,0.92,0.65
26979,0.47,0.82
26980,0.02,0.11
26981,0.04,0.37
26982,0.76,0.85
26983,0.16,0.4
26984,0.03,0.12
26985,0.01,0.09
26986,0.05,0.29
26987,0.03,0.17
26989,0.39,0.85
26990,0.01,0.17
26991,0.18,0.5
26992,0.38,0.63
26993,0.06,0.89
26994,0.22,0.43
26995,0.07,0.41
26996,0.35,0.44
26997,0.01,0.05
26998,0.01,0.09
26999,0.19,0.48
27000,0.06,0.25
27001,0.02,0.8
27002,0.01,0.32
27003,0.01,0.07
27005,0.27,0.66
27006,0.86,0.89
27007,0.02,0.19
27008,0.03,0.03
27009,0.11,0.28
27010,0.03,0.12
27011,0.04,0.27
27012,0.22,0.39
27013,0.17,0.31
27014,0.05,0.37
27016,0.06,0.36
27017,0.61,0.92
27018,0.03,0.36
27019,0.94,0.96
27020,0.25,0.29
27021,0.23,0.64
27022,0.07,0.26
27023,0.06,0.14
27024,0.04,0.52
27025,0.09,0.26
27026,0.04,0.52
27028,0.5,0.91
27029,0.12,0.23
27031,0.37,0.73
27032,0.09,0.69
27033,0.46,0.68
27035,0.2,0.17
27037,0.76,0.53
27038,0.01,0.03
27039,0.44,0.86
27040,0.07,0.28
27041,0.03,0.66
27042,0.03,0.52
27043,0.58,0.69
27044,0.0,0.09
27045,0.07,0.64
27046,0.09,0.17
27048,0.07,0.49
27049,0.14,0.64
27050,0.06,0.6
27052,0.05,0.21
27055,0.03,0.77
27056,0.04,0.23
27057,0.01,0.14
